TCP,status,xml_path,txt_path,extracted_chars
A19838,ok,/Users/grace/Desktop/new meta/tcp_drama/A19838.xml,/Users/grace/Desktop/new meta/<l><p>extract/A19838.txt,22941
A02732,ok,/Users/grace/Desktop/new meta/tcp_drama/A02732.xml,/Users/grace/Desktop/new meta/<l><p>extract/A02732.txt,41199
A68191,ok,/Users/grace/Desktop/new meta/tcp_drama/A68191.xml,/Users/grace/Desktop/new meta/<l><p>extract/A68191.txt,105065
A03404,ok,/Users/grace/Desktop/new meta/tcp_drama/A03404.xml,/Users/grace/Desktop/new meta/<l><p>extract/A03404.txt,105703
A16900,ok,/Users/grace/Desktop/new meta/tcp_drama/A16900.xml,/Users/grace/Desktop/new meta/<l><p>extract/A16900.txt,47817
A11146,ok,/Users/grace/Desktop/new meta/tcp_drama/A11146.xml,/Users/grace/Desktop/new meta/<l><p>extract/A11146.txt,129464
A05206,ok,/Users/grace/Desktop/new meta/tcp_drama/A05206.xml,/Users/grace/Desktop/new meta/<l><p>extract/A05206.txt,110839
A07065,ok,/Users/grace/Desktop/new meta/tcp_drama/A07065.xml,/Users/grace/Desktop/new meta/<l><p>extract/A07065.txt,96818
A03208,ok,/Users/grace/Desktop/new meta/tcp_drama/A03208.xml,/Users/grace/Desktop/new meta/<l><p>extract/A03208.txt,62386
A18407,ok,/Users/grace/Desktop/new meta/tcp_drama/A18407.xml,/Users/grace/Desktop/new meta/<l><p>extract/A18407.txt,129373
A07907,ok,/Users/grace/Desktop/new meta/tcp_drama/A07907.xml,/Users/grace/Desktop/new meta/<l><p>extract/A07907.txt,25997
A18400,ok,/Users/grace/Desktop/new meta/tcp_drama/A18400.xml,/Users/grace/Desktop/new meta/<l><p>extract/A18400.txt,102703
A04941,ok,/Users/grace/Desktop/new meta/tcp_drama/A04941.xml,/Users/grace/Desktop/new meta/<l><p>extract/A04941.txt,48676
A12023,ok,/Users/grace/Desktop/new meta/tcp_drama/A12023.xml,/Users/grace/Desktop/new meta/<l><p>extract/A12023.txt,82202
A03217,ok,/Users/grace/Desktop/new meta/tcp_drama/A03217.xml,/Users/grace/Desktop/new meta/<l><p>extract/A03217.txt,114950
A18413,ok,/Users/grace/Desktop/new meta/tcp_drama/A18413.xml,/Users/grace/Desktop/new meta/<l><p>extract/A18413.txt,110426
A19835,ok,/Users/grace/Desktop/new meta/tcp_drama/A19835.xml,/Users/grace/Desktop/new meta/<l><p>extract/A19835.txt,110600
A01911,ok,/Users/grace/Desktop/new meta/tcp_drama/A01911.xml,/Users/grace/Desktop/new meta/<l><p>extract/A01911.txt,109564
